Datetime,SMART [nvme0]: Temperature
2025-03-01 00:01:36,39
2025-03-01 00:11:36,40
2025-03-01 00:16:36,39
2025-03-01 00:56:36,38
2025-03-01 01:06:36,39
2025-03-01 01:11:36,38
2025-03-01 01:16:36,39
2025-03-01 01:21:36,38
2025-03-01 01:26:36,39
2025-03-01 01:31:36,38
2025-03-01 06:41:36,37
2025-03-01 06:46:36,38
2025-03-01 10:46:36,39
2025-03-01 11:56:36,40
2025-03-01 15:06:36,41
2025-03-01 15:11:36,40
2025-03-01 16:06:36,41
2025-03-01 16:46:36,40
2025-03-01 16:56:36,41
2025-03-01 20:21:36,40
2025-03-01 20:46:36,41
2025-03-01 21:16:36,42
2025-03-01 21:21:36,41
2025-03-01 22:16:36,40
2025-03-01 22:51:36,39
2025-03-01 23:46:36,38
2025-03-02 00:06:36,39
2025-03-02 00:36:36,38
2025-03-02 01:01:36,39
2025-03-02 01:06:36,38
2025-03-02 01:16:36,39
2025-03-02 02:46:36,38
2025-03-02 03:51:36,37
2025-03-02 03:56:36,38
2025-03-02 04:01:36,37
2025-03-02 04:06:36,38
2025-03-02 04:16:36,37
2025-03-02 05:26:36,38
2025-03-02 05:46:36,37
2025-03-02 11:46:36,37
2025-03-02 15:01:36,38
2025-03-02 15:16:36,37
2025-03-02 18:16:36,38
2025-03-02 18:26:36,37
2025-03-02 18:31:36,38
2025-03-02 18:51:36,39
2025-03-02 19:56:36,40
2025-03-02 20:36:36,41
2025-03-02 20:41:36,40
2025-03-02 20:46:36,41
2025-03-02 21:11:36,40
2025-03-02 22:46:36,39
2025-03-02 22:51:36,40
2025-03-02 23:31:36,39
2025-03-03 00:06:36,40
2025-03-03 00:46:36,39
2025-03-03 00:51:36,40
2025-03-03 01:01:36,39
2025-03-03 01:21:36,40
2025-03-03 01:41:36,39
2025-03-03 01:46:36,40
2025-03-03 01:51:36,39
2025-03-03 02:01:36,40
2025-03-03 02:11:36,39
2025-03-03 02:21:36,40
2025-03-03 02:51:36,39
2025-03-03 03:16:36,40
2025-03-03 03:21:36,39
2025-03-03 03:41:36,40
2025-03-03 03:46:36,39
2025-03-03 03:51:36,40
2025-03-03 03:56:36,39
2025-03-03 04:01:36,40
2025-03-03 04:06:36,39
2025-03-03 04:46:36,40
2025-03-03 04:51:36,39
2025-03-03 05:01:36,40
2025-03-03 05:31:36,41
2025-03-03 05:36:36,40
2025-03-03 09:46:36,41
2025-03-03 09:56:36,40
2025-03-03 10:26:36,39
2025-03-03 10:56:36,40
2025-03-03 11:56:36,41
2025-03-03 12:06:36,40
2025-03-03 15:41:36,39
2025-03-03 15:56:36,40
2025-03-03 17:41:36,39
2025-03-03 17:46:36,40
2025-03-03 17:56:36,39
2025-03-03 19:01:36,40
2025-03-03 19:31:36,41
2025-03-03 19:36:36,40
2025-03-03 19:46:36,41
2025-03-03 19:51:36,40
2025-03-03 21:06:36,41
2025-03-03 22:11:36,40
2025-03-04 00:11:36,41
2025-03-04 00:36:36,40
2025-03-04 05:26:36,41
2025-03-04 05:56:36,40
2025-03-04 06:01:36,41
2025-03-04 06:06:36,40
2025-03-04 08:56:36,41
2025-03-04 09:01:36,40
2025-03-04 09:06:36,41
2025-03-04 09:41:36,40
2025-03-04 09:51:36,41
2025-03-04 09:56:36,40
2025-03-04 10:06:36,41
2025-03-04 10:46:36,40
2025-03-04 11:56:36,39
2025-03-04 12:21:36,40
2025-03-04 12:41:36,39
2025-03-04 12:46:36,40
2025-03-04 14:46:36,41
2025-03-04 15:01:36,40
2025-03-04 15:11:36,41
2025-03-04 15:21:36,40
2025-03-04 15:46:36,41
2025-03-04 16:16:36,40
2025-03-04 18:06:36,39
2025-03-04 18:11:36,40
2025-03-04 18:16:36,39
2025-03-04 18:21:36,40
2025-03-04 21:56:36,39
2025-03-04 22:01:36,40
2025-03-04 22:26:36,39
2025-03-05 00:06:36,40
2025-03-05 00:36:36,39
2025-03-05 03:46:36,40
2025-03-05 05:31:36,41
2025-03-05 05:36:36,40
2025-03-05 11:36:36,40
2025-03-05 16:16:36,41
2025-03-05 16:46:36,42
2025-03-05 17:01:36,41
2025-03-05 17:16:36,40
2025-03-05 17:21:36,41
2025-03-05 17:51:36,40
2025-03-05 18:01:36,41
2025-03-05 18:16:36,40
2025-03-05 19:01:36,41
2025-03-05 19:06:36,40
2025-03-05 19:11:36,41
2025-03-05 19:41:36,40
2025-03-05 20:36:36,41
2025-03-05 20:41:36,40
2025-03-05 20:46:36,41
2025-03-05 20:51:36,40
2025-03-05 21:01:36,41
2025-03-05 21:31:36,40
2025-03-06 00:21:36,41
2025-03-06 00:31:36,40
2025-03-06 05:26:36,41
2025-03-06 05:41:36,40
2025-03-06 08:01:36,41
2025-03-06 08:31:36,40
2025-03-06 09:21:36,39
