,ts,value
0,2022-05-01 03:00:00,45
1,2022-05-01 04:00:00,44
2,2022-05-01 05:00:00,45
3,2022-05-01 06:00:00,44
4,2022-05-01 07:00:00,46
5,2022-05-01 08:00:00,48
6,2022-05-01 09:00:00,49
7,2022-05-01 10:00:00,50
8,2022-05-01 11:00:00,49
9,2022-05-01 12:00:00,49
10,2022-05-01 13:00:00,49
11,2022-05-01 14:00:00,49
12,2022-05-01 15:00:00,49
13,2022-05-01 16:00:00,49
14,2022-05-01 17:00:00,49
15,2022-05-01 18:00:00,49
16,2022-05-01 19:00:00,48
17,2022-05-01 20:00:00,47
18,2022-05-01 21:00:00,47
19,2022-05-01 22:00:00,46
20,2022-05-01 23:00:00,46
21,2022-05-02 00:00:00,45
22,2022-05-02 01:00:00,45
23,2022-05-02 02:00:00,45
24,2022-05-02 03:00:00,44
25,2022-05-02 04:00:00,44
26,2022-05-02 05:00:00,44
27,2022-05-02 06:00:00,44
28,2022-05-02 07:00:00,46
29,2022-05-02 08:00:00,48
30,2022-05-02 09:00:00,49
31,2022-05-02 10:00:00,50
32,2022-05-02 11:00:00,50
33,2022-05-02 12:00:00,50
34,2022-05-02 13:00:00,50
35,2022-05-02 14:00:00,50
36,2022-05-02 15:00:00,50
37,2022-05-02 16:00:00,50
38,2022-05-02 17:00:00,50
39,2022-05-02 18:00:00,49
40,2022-05-02 19:00:00,49
41,2022-05-02 20:00:00,48
42,2022-05-02 21:00:00,48
43,2022-05-02 22:00:00,48
44,2022-05-02 23:00:00,47
45,2022-05-03 00:00:00,46
46,2022-05-03 01:00:00,46
47,2022-05-03 02:00:00,46
48,2022-05-03 03:00:00,46
49,2022-05-03 04:00:00,46
50,2022-05-03 05:00:00,47
51,2022-05-03 06:00:00,46
52,2022-05-03 07:00:00,47
53,2022-05-03 08:00:00,48
54,2022-05-03 09:00:00,48
55,2022-05-03 10:00:00,49
56,2022-05-03 11:00:00,50
57,2022-05-03 12:00:00,50
58,2022-05-03 13:00:00,50
59,2022-05-03 14:00:00,50
60,2022-05-03 15:00:00,51
61,2022-05-03 16:00:00,50
62,2022-05-03 17:00:00,50
63,2022-05-03 18:00:00,50
64,2022-05-03 19:00:00,50
65,2022-05-03 20:00:00,50
66,2022-05-03 21:00:00,50
67,2022-05-03 22:00:00,50
68,2022-05-03 23:00:00,49
69,2022-05-04 00:00:00,49
70,2022-05-04 01:00:00,49
71,2022-05-04 02:00:00,48
72,2022-05-04 03:00:00,48
73,2022-05-04 04:00:00,48
74,2022-05-04 05:00:00,48
75,2022-05-04 06:00:00,48
76,2022-05-04 07:00:00,49
77,2022-05-04 08:00:00,50
78,2022-05-04 09:00:00,51
79,2022-05-04 10:00:00,52
80,2022-05-04 11:00:00,52
81,2022-05-04 12:00:00,51
82,2022-05-04 13:00:00,51
83,2022-05-04 14:00:00,51
84,2022-05-04 15:00:00,51
85,2022-05-04 16:00:00,54
86,2022-05-04 17:00:00,52
87,2022-05-04 18:00:00,51
88,2022-05-04 19:00:00,50
89,2022-05-04 20:00:00,50
90,2022-05-04 21:00:00,49
91,2022-05-04 22:00:00,49
92,2022-05-04 23:00:00,48
93,2022-05-05 00:00:00,48
94,2022-05-05 01:00:00,47
95,2022-05-05 02:00:00,46
96,2022-05-05 03:00:00,46
97,2022-05-05 04:00:00,45
98,2022-05-05 05:00:00,46
99,2022-05-05 06:00:00,45
100,2022-05-05 07:00:00,47
101,2022-05-05 08:00:00,49
102,2022-05-05 09:00:00,50
103,2022-05-05 10:00:00,50
104,2022-05-05 11:00:00,51
105,2022-05-05 12:00:00,50
106,2022-05-05 13:00:00,50
107,2022-05-05 14:00:00,50
108,2022-05-05 15:00:00,50
109,2022-05-05 16:00:00,50
110,2022-05-05 17:00:00,49
111,2022-05-05 18:00:00,49
112,2022-05-05 19:00:00,49
113,2022-05-05 20:00:00,48
114,2022-05-05 21:00:00,48
115,2022-05-05 22:00:00,47
116,2022-05-05 23:00:00,46
117,2022-05-06 00:00:00,45
118,2022-05-06 01:00:00,45
119,2022-05-06 02:00:00,45
120,2022-05-06 03:00:00,44
121,2022-05-06 04:00:00,44
122,2022-05-06 05:00:00,45
123,2022-05-06 06:00:00,45
124,2022-05-06 07:00:00,46
125,2022-05-06 08:00:00,49
126,2022-05-06 09:00:00,50
127,2022-05-06 10:00:00,50
128,2022-05-06 11:00:00,50
129,2022-05-06 12:00:00,50
130,2022-05-06 13:00:00,50
131,2022-05-06 14:00:00,50
132,2022-05-06 15:00:00,50
133,2022-05-06 16:00:00,50
134,2022-05-06 17:00:00,50
135,2022-05-06 18:00:00,50
136,2022-05-06 19:00:00,49
137,2022-05-06 20:00:00,49
138,2022-05-06 21:00:00,49
139,2022-05-06 22:00:00,48
140,2022-05-06 23:00:00,48
141,2022-05-07 00:00:00,48
142,2022-05-07 01:00:00,47
143,2022-05-07 02:00:00,46
144,2022-05-07 03:00:00,46
145,2022-05-07 04:00:00,46
146,2022-05-07 05:00:00,46
147,2022-05-07 06:00:00,46
148,2022-05-07 07:00:00,48
149,2022-05-07 08:00:00,50
150,2022-05-07 09:00:00,51
151,2022-05-07 10:00:00,52
152,2022-05-07 11:00:00,51
153,2022-05-07 12:00:00,51
154,2022-05-07 13:00:00,51
155,2022-05-07 14:00:00,51
156,2022-05-07 15:00:00,50
157,2022-05-07 16:00:00,51
158,2022-05-07 17:00:00,50
159,2022-05-07 18:00:00,51
160,2022-05-07 19:00:00,51
161,2022-05-07 20:00:00,50
162,2022-05-07 21:00:00,49
163,2022-05-07 22:00:00,49
164,2022-05-07 23:00:00,49
165,2022-05-08 00:00:00,49
166,2022-05-08 01:00:00,48
167,2022-05-08 02:00:00,48
168,2022-05-08 03:00:00,47
169,2022-05-08 04:00:00,47
170,2022-05-08 05:00:00,47
171,2022-05-08 06:00:00,48
172,2022-05-08 07:00:00,49
173,2022-05-08 08:00:00,50
174,2022-05-08 09:00:00,52
175,2022-05-08 10:00:00,53
176,2022-05-08 11:00:00,53
177,2022-05-08 12:00:00,53
178,2022-05-08 13:00:00,53
179,2022-05-08 14:00:00,53
180,2022-05-08 15:00:00,53
181,2022-05-08 16:00:00,53
182,2022-05-08 17:00:00,53
183,2022-05-08 18:00:00,53
184,2022-05-08 19:00:00,52
185,2022-05-08 20:00:00,52
186,2022-05-08 21:00:00,51
187,2022-05-08 22:00:00,51
188,2022-05-08 23:00:00,51
189,2022-05-09 00:00:00,49
190,2022-05-09 01:00:00,49
191,2022-05-09 02:00:00,49
192,2022-05-09 03:00:00,49
193,2022-05-09 04:00:00,49
194,2022-05-09 05:00:00,50
195,2022-05-09 06:00:00,50
196,2022-05-09 07:00:00,50
197,2022-05-09 08:00:00,52
198,2022-05-09 09:00:00,52
199,2022-05-09 10:00:00,52
200,2022-05-09 11:00:00,52
201,2022-05-09 12:00:00,51
202,2022-05-09 13:00:00,50
203,2022-05-09 14:00:00,50
204,2022-05-09 15:00:00,51
205,2022-05-09 16:00:00,51
206,2022-05-09 17:00:00,51
207,2022-05-09 18:00:00,51
208,2022-05-09 19:00:00,50
209,2022-05-09 20:00:00,50
210,2022-05-09 21:00:00,49
211,2022-05-09 22:00:00,49
212,2022-05-09 23:00:00,49
213,2022-05-10 00:00:00,48
214,2022-05-10 01:00:00,48
215,2022-05-10 02:00:00,48
216,2022-05-10 03:00:00,47
217,2022-05-10 04:00:00,47
218,2022-05-10 05:00:00,48
219,2022-05-10 06:00:00,48
220,2022-05-10 07:00:00,49
221,2022-05-10 08:00:00,51
222,2022-05-10 09:00:00,52
223,2022-05-10 10:00:00,52
224,2022-05-10 11:00:00,51
225,2022-05-10 12:00:00,51
226,2022-05-10 13:00:00,50
227,2022-05-10 14:00:00,50
228,2022-05-10 15:00:00,50
229,2022-05-10 16:00:00,50
230,2022-05-10 17:00:00,49
231,2022-05-10 18:00:00,49
232,2022-05-10 19:00:00,49
233,2022-05-10 20:00:00,49
234,2022-05-10 21:00:00,49
235,2022-05-10 22:00:00,49
236,2022-05-10 23:00:00,48
237,2022-05-11 00:00:00,48
238,2022-05-11 01:00:00,48
239,2022-05-11 02:00:00,48
240,2022-05-11 03:00:00,47
241,2022-05-11 04:00:00,48
242,2022-05-11 05:00:00,48
243,2022-05-11 06:00:00,48
244,2022-05-11 07:00:00,48
245,2022-05-11 08:00:00,48
246,2022-05-11 09:00:00,49
247,2022-05-11 10:00:00,49
248,2022-05-11 11:00:00,49
249,2022-05-11 12:00:00,49
250,2022-05-11 13:00:00,50
251,2022-05-11 14:00:00,50
252,2022-05-11 15:00:00,50
253,2022-05-11 16:00:00,51
254,2022-05-11 17:00:00,51
255,2022-05-11 18:00:00,51
256,2022-05-11 19:00:00,51
257,2022-05-11 20:00:00,51
258,2022-05-11 21:00:00,51
259,2022-05-11 22:00:00,50
260,2022-05-11 23:00:00,50
261,2022-05-12 00:00:00,50
262,2022-05-12 01:00:00,49
263,2022-05-12 02:00:00,49
264,2022-05-12 03:00:00,49
265,2022-05-12 04:00:00,49
266,2022-05-12 05:00:00,49
267,2022-05-12 06:00:00,48
268,2022-05-12 07:00:00,50
269,2022-05-12 08:00:00,52
270,2022-05-12 09:00:00,53
271,2022-05-12 10:00:00,54
272,2022-05-12 11:00:00,53
273,2022-05-12 12:00:00,54
274,2022-05-12 13:00:00,53
275,2022-05-12 14:00:00,54
276,2022-05-12 15:00:00,54
277,2022-05-12 16:00:00,54
278,2022-05-12 17:00:00,54
279,2022-05-12 18:00:00,54
280,2022-05-12 19:00:00,54
281,2022-05-12 20:00:00,54
282,2022-05-12 21:00:00,54
283,2022-05-12 22:00:00,54
284,2022-05-12 23:00:00,53
285,2022-05-13 00:00:00,53
286,2022-05-13 01:00:00,52
287,2022-05-13 02:00:00,52
288,2022-05-13 03:00:00,52
289,2022-05-13 04:00:00,52
290,2022-05-13 05:00:00,52
291,2022-05-13 06:00:00,52
292,2022-05-13 07:00:00,53
293,2022-05-13 08:00:00,55
294,2022-05-13 09:00:00,56
295,2022-05-13 10:00:00,55
296,2022-05-13 11:00:00,55
297,2022-05-13 12:00:00,54
298,2022-05-13 13:00:00,54
299,2022-05-13 14:00:00,54
300,2022-05-13 15:00:00,53
301,2022-05-13 16:00:00,53
302,2022-05-13 17:00:00,53
303,2022-05-13 18:00:00,53
304,2022-05-13 19:00:00,53
305,2022-05-13 20:00:00,52
306,2022-05-13 21:00:00,52
307,2022-05-13 22:00:00,51
308,2022-05-13 23:00:00,51
309,2022-05-14 00:00:00,50
310,2022-05-14 01:00:00,50
311,2022-05-14 02:00:00,49
312,2022-05-14 03:00:00,49
313,2022-05-14 04:00:00,49
314,2022-05-14 05:00:00,50
315,2022-05-14 06:00:00,50
316,2022-05-14 07:00:00,50
317,2022-05-14 08:00:00,53
318,2022-05-14 09:00:00,54
319,2022-05-14 10:00:00,54
320,2022-05-14 11:00:00,54
321,2022-05-14 12:00:00,54
322,2022-05-14 13:00:00,54
323,2022-05-14 14:00:00,53
324,2022-05-14 15:00:00,54
325,2022-05-14 16:00:00,53
326,2022-05-14 17:00:00,53
327,2022-05-14 18:00:00,53
328,2022-05-14 19:00:00,53
329,2022-05-14 20:00:00,52
330,2022-05-14 21:00:00,52
331,2022-05-14 22:00:00,52
332,2022-05-14 23:00:00,51
333,2022-05-15 00:00:00,51
334,2022-05-15 01:00:00,50
335,2022-05-15 02:00:00,50
336,2022-05-15 03:00:00,50
337,2022-05-15 04:00:00,50
338,2022-05-15 05:00:00,50
339,2022-05-15 06:00:00,50
340,2022-05-15 07:00:00,50
341,2022-05-15 08:00:00,51
342,2022-05-15 09:00:00,52
343,2022-05-15 10:00:00,52
344,2022-05-15 11:00:00,52
345,2022-05-15 12:00:00,52
346,2022-05-15 13:00:00,52
347,2022-05-15 14:00:00,52
348,2022-05-15 15:00:00,52
349,2022-05-15 16:00:00,51
350,2022-05-15 17:00:00,51
351,2022-05-15 18:00:00,51
352,2022-05-15 19:00:00,51
353,2022-05-15 20:00:00,50
354,2022-05-15 21:00:00,50
355,2022-05-15 22:00:00,50
356,2022-05-15 23:00:00,50
357,2022-05-16 00:00:00,49
358,2022-05-16 01:00:00,49
359,2022-05-16 02:00:00,48
360,2022-05-16 03:00:00,48
361,2022-05-16 04:00:00,52
362,2022-05-16 05:00:00,54
363,2022-05-16 06:00:00,54
364,2022-05-16 07:00:00,54
365,2022-05-16 08:00:00,55
366,2022-05-16 09:00:00,55
367,2022-05-16 10:00:00,56
368,2022-05-16 11:00:00,57
369,2022-05-16 12:00:00,57
370,2022-05-16 13:00:00,57
371,2022-05-16 14:00:00,57
372,2022-05-16 15:00:00,57
373,2022-05-16 16:00:00,57
374,2022-05-16 17:00:00,57
375,2022-05-16 18:00:00,57
376,2022-05-16 19:00:00,57
377,2022-05-16 20:00:00,56
378,2022-05-16 21:00:00,56
379,2022-05-16 22:00:00,56
380,2022-05-16 23:00:00,55
381,2022-05-17 00:00:00,50
382,2022-05-17 01:00:00,49
383,2022-05-17 02:00:00,49
384,2022-05-17 03:00:00,48
385,2022-05-17 04:00:00,48
386,2022-05-17 05:00:00,48
387,2022-05-17 06:00:00,48
388,2022-05-17 07:00:00,49
389,2022-05-17 08:00:00,51
390,2022-05-17 09:00:00,52
391,2022-05-17 10:00:00,52
392,2022-05-17 11:00:00,51
393,2022-05-17 12:00:00,52
394,2022-05-17 13:00:00,51
395,2022-05-17 14:00:00,52
396,2022-05-17 15:00:00,52
397,2022-05-17 16:00:00,51
398,2022-05-17 17:00:00,51
399,2022-05-17 18:00:00,51
400,2022-05-17 19:00:00,51
401,2022-05-17 20:00:00,51
402,2022-05-17 21:00:00,51
403,2022-05-17 22:00:00,50
404,2022-05-17 23:00:00,49
405,2022-05-18 00:00:00,48
406,2022-05-18 01:00:00,48
407,2022-05-18 02:00:00,47
408,2022-05-18 03:00:00,47
409,2022-05-18 04:00:00,47
410,2022-05-18 05:00:00,48
411,2022-05-18 06:00:00,48
412,2022-05-18 07:00:00,49
413,2022-05-18 08:00:00,50
414,2022-05-18 09:00:00,50
415,2022-05-18 10:00:00,50
416,2022-05-18 11:00:00,50
417,2022-05-18 12:00:00,51
418,2022-05-18 13:00:00,51
419,2022-05-18 14:00:00,51
420,2022-05-18 15:00:00,51
421,2022-05-18 16:00:00,51
422,2022-05-18 17:00:00,51
423,2022-05-18 18:00:00,51
424,2022-05-18 19:00:00,51
425,2022-05-18 20:00:00,51
426,2022-05-18 21:00:00,51
427,2022-05-18 22:00:00,50
428,2022-05-18 23:00:00,50
429,2022-05-19 00:00:00,49
430,2022-05-19 01:00:00,49
431,2022-05-19 02:00:00,48
432,2022-05-19 03:00:00,48
433,2022-05-19 04:00:00,48
434,2022-05-19 05:00:00,48
435,2022-05-19 06:00:00,49
436,2022-05-19 07:00:00,50
437,2022-05-19 08:00:00,52
438,2022-05-19 09:00:00,53
439,2022-05-19 10:00:00,53
440,2022-05-19 11:00:00,53
441,2022-05-19 12:00:00,53
442,2022-05-19 13:00:00,52
443,2022-05-19 14:00:00,52
444,2022-05-19 15:00:00,53
445,2022-05-19 16:00:00,53
446,2022-05-19 17:00:00,53
447,2022-05-19 18:00:00,53
448,2022-05-19 19:00:00,52
449,2022-05-19 20:00:00,52
450,2022-05-19 21:00:00,51
451,2022-05-19 22:00:00,51
452,2022-05-19 23:00:00,51
453,2022-05-20 00:00:00,50
454,2022-05-20 01:00:00,49
455,2022-05-20 02:00:00,49
456,2022-05-20 03:00:00,48
457,2022-05-20 04:00:00,48
458,2022-05-20 05:00:00,49
459,2022-05-20 06:00:00,49
460,2022-05-20 07:00:00,49
461,2022-05-20 08:00:00,50
462,2022-05-20 09:00:00,51
463,2022-05-20 10:00:00,52
464,2022-05-20 11:00:00,51
465,2022-05-20 12:00:00,51
466,2022-05-20 13:00:00,52
467,2022-05-20 14:00:00,52
468,2022-05-20 15:00:00,52
469,2022-05-20 16:00:00,52
470,2022-05-20 17:00:00,51
471,2022-05-20 18:00:00,51
472,2022-05-20 19:00:00,51
473,2022-05-20 20:00:00,51
474,2022-05-20 21:00:00,51
475,2022-05-20 22:00:00,50
476,2022-05-20 23:00:00,50
477,2022-05-21 00:00:00,49
478,2022-05-21 01:00:00,49
479,2022-05-21 02:00:00,48
480,2022-05-21 03:00:00,48
481,2022-05-21 04:00:00,48
482,2022-05-21 05:00:00,49
483,2022-05-21 06:00:00,48
484,2022-05-21 07:00:00,49
485,2022-05-21 08:00:00,49
486,2022-05-21 09:00:00,50
487,2022-05-21 10:00:00,50
488,2022-05-21 11:00:00,50
489,2022-05-21 12:00:00,50
490,2022-05-21 13:00:00,51
491,2022-05-21 14:00:00,50
492,2022-05-21 15:00:00,50
493,2022-05-21 16:00:00,50
494,2022-05-21 17:00:00,50
495,2022-05-21 18:00:00,50
496,2022-05-21 19:00:00,50
497,2022-05-21 20:00:00,50
498,2022-05-21 21:00:00,50
499,2022-05-21 22:00:00,50
500,2022-05-21 23:00:00,50
501,2022-05-22 00:00:00,50
502,2022-05-22 01:00:00,49
503,2022-05-22 02:00:00,49
